"country","wave","eval_parl","n","weighted"
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,405
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,364
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,405
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,405
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,364
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,405
"Algeria","ABIII","not_free",240,121
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,121
"Algeria","ABIII","not_free",240,121
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,364
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,405
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,121
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,121
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,81
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,121
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,364
"Algeria","ABIII","not_free",240,364
"Algeria","ABIII","not_free",240,81
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,405
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,121
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,364
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,405
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,405
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,364
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,445
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,121
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,445
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,405
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,81
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,40
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,121
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,121
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,364
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,121
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,405
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,445
"Algeria","ABIII","not_free",240,486
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,324
"Algeria","ABIII","not_free",240,162
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,283
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,81
"Algeria","ABIII","not_free",240,202
"Algeria","ABIII","not_free",240,243
"Algeria","ABIII","some_major_problems",152,103
"Algeria","ABIII","some_major_problems",152,128
"Algeria","ABIII","some_major_problems",152,154
"Algeria","ABIII","some_major_problems",152,154
"Algeria","ABIII","some_major_problems",152,154
"Algeria","ABIII","some_major_problems",152,128
"Algeria","ABIII","some_major_problems",152,231
"Algeria","ABIII","some_major_problems",152,179
"Algeria","ABIII","some_major_problems",152,154
"Algeria","ABIII","some_major_problems",152,128
"Algeria","ABIII","some_major_problems",152,154
"Algeria","ABIII","some_major_problems",152,128
"Algeria","ABIII","some_major_problems",152,154
"Algeria","ABIII","some_major_problems",152,154
"Algeria","ABIII","some_major_problems",152,205
"Algeria","ABIII","some_major_problems",152,128
"Algeria","ABIII","some_major_problems",152,179
"Algeria","ABIII","some_major_problems",152,205
"Algeria","ABIII","some_major_problems",152,128
"Algeria","ABIII","some_major_problems",152,205
"Algeria","ABIII","some_major_problems",152,77
"Algeria","ABIII","some_major_problems",152,154
"Algeria","ABIII","some_major_problems",152,179
"Algeria","ABIII","some_major_problems",152,231
"Algeria","ABIII","some_major_problems",152,179
"Algeria","ABIII","some_major_problems",152,128
"Algeria","ABIII","some_major_problems",152,103
"Algeria","ABIII","some_major_problems",152,128
"Algeria","ABIII","some_major_problems",152,51
"Algeria","ABIII","some_major_problems",152,128
"Algeria","ABIII","some_major_problems",152,179
"Algeria","ABIII","some_major_problems",152,179
"Algeria","ABIII","some_major_problems",152,154
"Algeria","ABIII","some_major_problems",152,77
"Algeria","ABIII","some_major_problems",152,128
"Algeria","ABIII","some_major_problems",152,128
"Algeria","ABIII","some_major_problems",152,128
"Algeria","ABIII","some_major_problems",152,179
"Algeria","ABIII","some_major_problems",152,205
"Algeria","ABIII","some_major_problems",152,128
"Algeria","ABIII","some_major_problems",152,154
"Algeria","ABIII","some_major_problems",152,179
"Algeria","ABIII","some_major_problems",152,154
"Algeria","ABIII","some_major_problems",152,179
"Algeria","ABIII","some_major_problems",152,205
"Algeria","ABIII","some_major_problems",152,205
"Algeria","ABIII","some_major_problems",152,154
"Algeria","ABIII","some_major_problems",152,231
"Algeria","ABIII","some_major_problems",152,205
"Algeria","ABIII","some_major_problems",152,205
"Algeria","ABIII","some_major_problems",152,282
"Algeria","ABIII","some_major_problems",152,154
"Algeria","ABIII","some_major_problems",152,103
"Algeria","ABIII","some_major_problems",152,128
"Algeria","ABIII","some_major_problems",152,103
"Algeria","ABIII","some_major_problems",152,282
"Algeria","ABIII","some_major_problems",152,128
