"filename","id","var_name_orig","class_orig","label_orig","n_labels","n_valid_labels","n_na_labels"
"AB-WaveV-EN.sav","Arab_Barometer_5","rowid","character","unique identifier in ab wavev en",0,0,0
"AB-WaveV-EN.sav","Arab_Barometer_5","id","numeric","null",0,0,0
"AB-WaveV-EN.sav","Arab_Barometer_5","country","retroharmonize_labelled_spss_survey","country id",15,15,0
"AB-WaveV-EN.sav","Arab_Barometer_5","psu","numeric","null",0,0,0
"AB-WaveV-EN.sav","Arab_Barometer_5","splita","numeric","null",0,0,0
"AB-WaveV-EN.sav","Arab_Barometer_5","splitb","numeric","null",0,0,0
"AB-WaveV-EN.sav","Arab_Barometer_5","wave","numeric","null",0,0,0
"AB-WaveV-EN.sav","Arab_Barometer_5","q1","retroharmonize_labelled_spss_survey","governorate",215,215,0
"AB-WaveV-EN.sav","Arab_Barometer_5","a1","retroharmonize_labelled_spss_survey","region",34,34,0
"AB-WaveV-EN.sav","Arab_Barometer_5","q13","retroharmonize_labelled_spss_survey","settlement",3,3,0
"AB-WaveV-EN.sav","Arab_Barometer_5","wt","numeric","null",0,0,0
"AB-WaveV-EN.sav","Arab_Barometer_5","stratum","numeric","null",0,0,0
"AB-WaveV-EN.sav","Arab_Barometer_5","sample","retroharmonize_labelled_spss_survey","sample",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","mode","retroharmonize_labelled_spss_survey","mode of data collection",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q1001","numeric","null",0,0,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q1001GCC","retroharmonize_labelled_spss_survey","demographics approximate age",1,1,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q1002","retroharmonize_labelled_spss_survey","demographics gender",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q100","retroharmonize_labelled_spss_survey","evaluation direction of country",5,5,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q2061A","retroharmonize_labelled_spss_survey","most important challenge",13,13,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q2061B","retroharmonize_labelled_spss_survey","second most important challenge",13,13,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q101","retroharmonize_labelled_spss_survey","evaluation current economic situation",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q101A","retroharmonize_labelled_spss_survey","evaluation past economic situation",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q102","retroharmonize_labelled_spss_survey","evaluation future econmic situation",7,7,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q108_1","retroharmonize_labelled_spss_survey","evaluation environment climate change",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q108_2","retroharmonize_labelled_spss_survey","evaluation environment air quality",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q108_3","retroharmonize_labelled_spss_survey","evaluation environment water pollution",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q108_4","retroharmonize_labelled_spss_survey","evaluation environment trash",6,6,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q109AGCC_1","retroharmonize_labelled_spss_survey","kuwait best worst place to live currently",5,5,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q109AGCC_2","retroharmonize_labelled_spss_survey","kuwait best worst place to live previous year",5,5,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104","retroharmonize_labelled_spss_survey","migration consideration emigration",4,4,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104A","retroharmonize_labelled_spss_survey","migration reason for emigration",10,10,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104A_1","retroharmonize_labelled_spss_survey","migration reason economy",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104A_2","retroharmonize_labelled_spss_survey","migration reason politics",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104A_3","retroharmonize_labelled_spss_survey","migration reason religion",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104A_4","retroharmonize_labelled_spss_survey","migration reason security",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104A_5","retroharmonize_labelled_spss_survey","migration reason education",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104A_6","retroharmonize_labelled_spss_survey","migration reason family reunion",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104A_7","retroharmonize_labelled_spss_survey","migration reason corruption",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104A_8","retroharmonize_labelled_spss_survey","migration reason other",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104A_98","retroharmonize_labelled_spss_survey","migration reason do not know",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104A_99","retroharmonize_labelled_spss_survey","migration reason refused",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_KSA","retroharmonize_labelled_spss_survey","migration destination country saudi arabia",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_UAE","retroharmonize_labelled_spss_survey","migration destination country united arabic emirates",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_QA","retroharmonize_labelled_spss_survey","migration destination country qatar",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_BA","retroharmonize_labelled_spss_survey","migration destination country bahrain",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_KU","retroharmonize_labelled_spss_survey","migration destination country kuwait",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_OM","retroharmonize_labelled_spss_survey","migration destination country oman",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_EG","retroharmonize_labelled_spss_survey","migration destination country egypt",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_JO","retroharmonize_labelled_spss_survey","migration destination country jordan",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_LEB","retroharmonize_labelled_spss_survey","migration destination country lebanon",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_MO","retroharmonize_labelled_spss_survey","migration destination country morocco",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_AL","retroharmonize_labelled_spss_survey","migration destination country algeria",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_TUN","retroharmonize_labelled_spss_survey","migration destination country tunisia",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_TUR","retroharmonize_labelled_spss_survey","migration destination country turkey",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_US","retroharmonize_labelled_spss_survey","migration destination country united states",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_CAN","retroharmonize_labelled_spss_survey","migration destination country canada",2,2,0
"AB-WaveV-EN.sav","Arab_Barometer_5","Q104B_UK","retroharmonize_labelled_spss_survey","migration destination country united kingdom",2,2,0
