"country","wave","mean","median"
"Algeria","ABIII",3.01783245792791,3
"Algeria","ABIV",2.71765520484286,3
"Egypt","ABIII",2.87962745125901,3
"Egypt","ABIV",3.37782653608146,4
"Iraq","ABIII",2.86846374676204,3
"Jordan","ABIII",2.43904572949055,2
"Jordan","ABIV",NA,NA
"Kuwait","ABIII",3.26932808542454,3
"Lebanon","ABIII",2.81946757368071,3
"Lebanon","ABIV",NA,NA
"Libya","ABIII",3.11387329591018,4
"Morocco","ABIII",2.81567793075326,3
"Morocco","ABIV",3.45245090647186,3
"Palestine","ABIII",3.48698082022302,4
"Palestine","ABIV",3.35298510092569,4
"Sudan","ABIII",2.58950366251203,3
"Tunisia","ABIII",3.59405171652538,4
"Tunisia","ABIV",2.87769737610017,3
"Yemen","ABIII",2.87571813686266,3
