"id","country","eval_parl_num","eval_parl_cat","wave"
"ABIII_English_1","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_2","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_3","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_4","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_5","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_6","Algeria",4,"free_and_fair","ABIII"
"ABIII_English_7","Algeria",1,"not_free","ABIII"
"ABIII_English_8","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_9","Algeria",4,"free_and_fair","ABIII"
"ABIII_English_10","Algeria",5,"do_not_know","ABIII"
"ABIII_English_11","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_12","Algeria",1,"not_free","ABIII"
"ABIII_English_13","Algeria",1,"not_free","ABIII"
"ABIII_English_14","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_15","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_16","Algeria",1,"not_free","ABIII"
"ABIII_English_17","Algeria",1,"not_free","ABIII"
"ABIII_English_18","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_19","Algeria",1,"not_free","ABIII"
"ABIII_English_20","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_21","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_22","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_23","Algeria",1,"not_free","ABIII"
"ABIII_English_24","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_25","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_26","Algeria",1,"not_free","ABIII"
"ABIII_English_27","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_28","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_29","Algeria",1,"not_free","ABIII"
"ABIII_English_30","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_31","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_32","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_33","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_34","Algeria",1,"not_free","ABIII"
"ABIII_English_35","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_36","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_37","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_38","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_39","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_40","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_41","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_42","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_43","Algeria",5,"do_not_know","ABIII"
"ABIII_English_44","Algeria",1,"not_free","ABIII"
"ABIII_English_45","Algeria",1,"not_free","ABIII"
"ABIII_English_46","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_47","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_48","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_49","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_50","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_51","Algeria",1,"not_free","ABIII"
"ABIII_English_52","Algeria",1,"not_free","ABIII"
"ABIII_English_53","Algeria",4,"free_and_fair","ABIII"
"ABIII_English_54","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_55","Algeria",5,"do_not_know","ABIII"
"ABIII_English_56","Algeria",4,"free_and_fair","ABIII"
"ABIII_English_57","Algeria",5,"do_not_know","ABIII"
"ABIII_English_58","Algeria",5,"do_not_know","ABIII"
"ABIII_English_59","Algeria",1,"not_free","ABIII"
"ABIII_English_60","Algeria",5,"do_not_know","ABIII"
"ABIII_English_61","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_62","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_63","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_64","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_65","Algeria",4,"free_and_fair","ABIII"
"ABIII_English_66","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_67","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_68","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_69","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_70","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_71","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_72","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_73","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_74","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_75","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_76","Algeria",4,"free_and_fair","ABIII"
"ABIII_English_77","Algeria",4,"free_and_fair","ABIII"
"ABIII_English_78","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_79","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_80","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_81","Algeria",5,"do_not_know","ABIII"
"ABIII_English_82","Algeria",4,"free_and_fair","ABIII"
"ABIII_English_83","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_84","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_85","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_86","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_87","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_88","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_89","Algeria",4,"free_and_fair","ABIII"
"ABIII_English_90","Algeria",5,"do_not_know","ABIII"
"ABIII_English_91","Algeria",1,"not_free","ABIII"
"ABIII_English_92","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_93","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_94","Algeria",5,"do_not_know","ABIII"
"ABIII_English_95","Algeria",1,"not_free","ABIII"
"ABIII_English_96","Algeria",5,"do_not_know","ABIII"
"ABIII_English_97","Algeria",5,"do_not_know","ABIII"
"ABIII_English_98","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_99","Algeria",1,"not_free","ABIII"
"ABIII_English_100","Algeria",6,"declined","ABIII"
"ABIII_English_101","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_102","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_103","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_104","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_105","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_106","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_107","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_108","Algeria",4,"free_and_fair","ABIII"
"ABIII_English_109","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_110","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_111","Algeria",6,"declined","ABIII"
"ABIII_English_112","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_113","Algeria",1,"not_free","ABIII"
"ABIII_English_114","Algeria",5,"do_not_know","ABIII"
"ABIII_English_115","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_116","Algeria",1,"not_free","ABIII"
"ABIII_English_117","Algeria",5,"do_not_know","ABIII"
"ABIII_English_118","Algeria",4,"free_and_fair","ABIII"
"ABIII_English_119","Algeria",5,"do_not_know","ABIII"
"ABIII_English_120","Algeria",1,"not_free","ABIII"
"ABIII_English_121","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_122","Algeria",1,"not_free","ABIII"
"ABIII_English_123","Algeria",1,"not_free","ABIII"
"ABIII_English_124","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_125","Algeria",1,"not_free","ABIII"
"ABIII_English_126","Algeria",5,"do_not_know","ABIII"
"ABIII_English_127","Algeria",1,"not_free","ABIII"
"ABIII_English_128","Algeria",1,"not_free","ABIII"
"ABIII_English_129","Algeria",1,"not_free","ABIII"
"ABIII_English_130","Algeria",1,"not_free","ABIII"
"ABIII_English_131","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_132","Algeria",1,"not_free","ABIII"
"ABIII_English_133","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_134","Algeria",5,"do_not_know","ABIII"
"ABIII_English_135","Algeria",4,"free_and_fair","ABIII"
"ABIII_English_136","Algeria",1,"not_free","ABIII"
"ABIII_English_137","Algeria",5,"do_not_know","ABIII"
"ABIII_English_138","Algeria",5,"do_not_know","ABIII"
"ABIII_English_139","Algeria",5,"do_not_know","ABIII"
"ABIII_English_140","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_141","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_142","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_143","Algeria",4,"free_and_fair","ABIII"
"ABIII_English_144","Algeria",5,"do_not_know","ABIII"
"ABIII_English_145","Algeria",4,"free_and_fair","ABIII"
"ABIII_English_146","Algeria",3,"some_minor_problems","ABIII"
"ABIII_English_147","Algeria",1,"not_free","ABIII"
"ABIII_English_148","Algeria",5,"do_not_know","ABIII"
"ABIII_English_149","Algeria",4,"free_and_fair","ABIII"
"ABIII_English_150","Algeria",5,"do_not_know","ABIII"
"ABIII_English_151","Algeria",5,"do_not_know","ABIII"
"ABIII_English_152","Algeria",2,"some_major_problems","ABIII"
"ABIII_English_153","Algeria",5,"do_not_know","ABIII"
"ABIII_English_154","Algeria",4,"free_and_fair","ABIII"
